Angel	Pagan	.288	174	38	15	8
Marco	Scutaro	.306	190	32	4	7
Pablo	Sandoval	.283	112	25	2	12
Buster	Posey	.336	178	39	1	24
Hunter	Pence	.253	156	26	4	24
Brandon	Belt	.275	113	27	6	7
Gregor	Blanco	.244	96	14	5	5
Hector	Sanchez	.280	61	15	0	3
Brandon	Crawford	.248	108	26	3	4
