Austin	Jackson	.300	163	29	10	16
Quintin	Berry	.258	75	10	6	2
Miguel	Cabrera	.330	205	40	0	44
Prince	Fielder	.313	182	33	1	30
Delmon	Young	.267	153	27	1	18
Andy	Dirks	.322	101	18	5	8
Jhonny	Peralta	.239	127	32	3	13
Alex	Avila	.243	89	21	2	9
Omar	Infante	.274	152	30	7	12
